,count,count_no_rt
2016-12-22,935.0,435.0
2016-12-23,241.0,90.0
2016-12-24,165.0,65.0
2016-12-25,86.0,27.0
2016-12-26,134.0,31.0
2016-12-27,151.0,22.0
2016-12-28,45.0,6.0
2016-12-29,83.0,7.0
2016-12-30,104.0,16.0
2016-12-31,137.0,28.0
2017-01-01,168.0,26.0
2017-01-02,279.0,38.0
2017-01-03,180.0,21.0
2017-01-04,114.0,24.0
2017-01-05,119.0,33.0
2017-01-06,193.0,42.0
2017-01-07,181.0,32.0
2017-01-08,148.0,25.0
2017-01-09,1108.0,155.0
2017-01-10,501.0,73.0
2017-01-11,206.0,55.0
2017-01-12,192.0,56.0
2017-01-13,234.0,54.0
2017-01-14,223.0,55.0
2017-01-15,133.0,25.0
2017-01-16,120.0,29.0
2017-01-17,295.0,55.0
2017-01-18,364.0,35.0
2017-01-19,155.0,28.0
2017-01-20,218.0,48.0
2017-01-21,203.0,34.0
2017-01-22,181.0,24.0
2017-01-23,258.0,36.0
2017-01-24,230.0,30.0
2017-01-25,158.0,22.0
2017-01-26,188.0,44.0
2017-01-27,211.0,31.0
2017-01-28,350.0,29.0
2017-01-29,212.0,33.0
2017-01-30,112.0,15.0
2017-01-31,192.0,30.0
2017-02-01,243.0,28.0
2017-02-02,190.0,33.0
2017-02-03,479.0,31.0
2017-02-04,570.0,32.0
2017-02-05,270.0,22.0
2017-02-06,165.0,31.0
2017-02-07,97.0,25.0
2017-02-08,116.0,29.0
2017-02-09,147.0,29.0
2017-02-10,165.0,27.0
2017-02-11,298.0,30.0
2017-02-12,237.0,23.0
2017-02-13,241.0,21.0
2017-02-14,171.0,27.0
2017-02-15,191.0,29.0
2017-02-16,152.0,29.0
2017-02-17,175.0,20.0
2017-02-18,221.0,23.0
2017-02-19,150.0,16.0
2017-02-20,468.0,38.0
2017-02-21,754.0,42.0
2017-02-22,300.0,32.0
2017-02-23,967.0,395.0
2017-02-24,441.0,79.0
2017-02-25,222.0,55.0
2017-02-26,151.0,38.0
2017-02-27,248.0,41.0
2017-02-28,432.0,69.0
2017-03-01,191.0,58.0
2017-03-02,94.0,19.0
2017-03-03,91.0,22.0
2017-03-04,106.0,25.0
2017-03-05,80.0,17.0
2017-03-06,105.0,16.0
2017-03-07,130.0,28.0
2017-03-08,153.0,31.0
2017-03-09,139.0,17.0
2017-03-10,172.0,20.0
2017-03-11,110.0,19.0
2017-03-12,86.0,29.0
2017-03-13,191.0,30.0
2017-03-14,128.0,33.0
2017-03-15,121.0,20.0
2017-03-16,169.0,31.0
2017-03-17,258.0,33.0
2017-03-18,157.0,17.0
2017-03-19,239.0,20.0
2017-03-20,211.0,18.0
2017-03-21,136.0,21.0
2017-03-22,136.0,31.0
2017-03-23,150.0,27.0
2017-03-24,178.0,33.0
2017-03-25,286.0,35.0
2017-03-26,189.0,32.0
2017-03-27,290.0,34.0
2017-03-28,347.0,49.0
2017-03-29,443.0,49.0
2017-03-30,201.0,32.0
2017-03-31,131.0,23.0
2017-04-01,106.0,22.0
2017-04-02,103.0,26.0
2017-04-03,136.0,24.0
2017-04-04,148.0,23.0
2017-04-05,151.0,32.0
